id,name
736032,Smolnik žaga
406051,Smrekarjevo
406052,Smrekarjevo
204071,Sneberje
204072,Sneberje
204321,Sneberska
204322,Sneberska
816041,Sora
816032,Sora OŠ
104331,Sp. Gameljne 1
104332,Sp. Gameljne 1
104341,Sp. Gameljne 2
104342,Sp. Gameljne 2
104351,Sp. Gameljne 3
104352,Sp. Gameljne 3
815021,Sp. Pirniče
815022,Sp. Pirniče
803171,Spar
803172,Spar
504021,Spodnji Rudnik
504022,Spodnji Rudnik
725131,Sr.vas pri Polh.G.
725132,Sr.vas pri Polh.G.
202091,Središka
202092,Središka
102041,Stadion
102042,Stadion
625031,Staje
625032,Staje
804061,Stanežiče
804062,Stanežiče
104371,Stara Ježica
104372,Stara Ježica
802011,Stara cerkev
802012,Stara cerkev
505101,Stara pošta
505102,Stara pošta
103101,Stožice
103102,Stožice
502031,Streliška
502032,Streliška
503011,Strelišče
503012,Strelišče
304061,Studenec
304062,Studenec
835031,Svetje
702031,Svetčeva
702032,Svetčeva
203081,TOMAČEVO
602121,TRNOVO
406081,TUJI GRM
804101,Tabor
804102,Tabor
804104,Tabor
804151,Tacen
804152,Tacen
804141,Tacenski most
804142,Tacenski most
804144,Tacenski most
500011,Tavčarjeva
603141,Tbilisijska
603142,Tbilisijska
603143,Tbilisijska
603144,Tbilisijska
803071,Tehnounion
803072,Tehnounion
802061,Tiki
802062,Tiki
801011,Tivoli
801012,Tivoli
701011,Tivolska
701012,Tivolska
602041,Tobačna
602042,Tobačna
203031,Tomačevska
203032,Tomačevska
603211,Tomažičeva
603212,Tomažičeva
103011,Toplarna
103012,Toplarna
102021,Topniška
102022,Topniška
103051,Tovarna Lek
103052,Tovarna Lek
203061,Tovorni kolodvor
203062,Tovorni kolodvor
804011,Trata
804012,Trata
204251,Trbeže
204252,Trbeže
406021,Trebeljevo
406022,Trebeljevo
602122,Trnovo
803101,Tržnica Koseze
803102,Tržnica Koseze
303011,Tržnica Moste
303012,Tržnica Moste
826041,Utik
826042,Utik
304101,VEVČE
804051,VIŽMARJE
826011,VODICE
826012,VODICE
815091,Valburga
815092,Valburga
815181,Vaše
815172,Vaše Helios
415031,Veliki Lipoglav
415032,Veliki Lipoglav
603081,Veliki štradon
603082,Veliki štradon
835011,Verje
835012,Verje
826061,Vesca
826062,Vesca
304102,Vevče
304103,Vevče
304121,Vevče Papirnica
304122,Vevče Papirnica
703181,Večna pot
703182,Večna pot
202011,Viadukt
202012,Viadukt
815011,Vikrče
815012,Vikrče
703091,Vič
703092,Vič
703041,Viško polje
703042,Viško polje
804251,Vižmarje
804252,Vižmarje
826091,Vodice OŠ
826092,Vodice OŠ
505122,Vodičar
102071,Vodovodna
102072,Vodovodna
826081,Vojsko
826082,Vojsko
406061,Volavlje
406062,Volavlje
704031,Vrhovci
704032,Vrhovci
716041,Vrzdenec
716042,Vrzdenec
203191,Yulon
203192,Yulon
204081,ZADOBROVA
204313,ZALOG
825111,ZAPOGE obr.
304142,ZD POLJE
202051,ZELENA JAMA
815042,ZG. Pirniče
204083,Zadobrova
404061,Zadvor
404062,Zadvor
404151,Zadvor-2
404152,Zadvor-2
715131,Zaklanec/Horjulu
715132,Zaklanec/Horjulu
303021,Zaloška
303024,Zaloška
825081,Zapoge
825082,Zapoge
804381,Zapuže
804382,Zapuže
104171,Zasavska
104172,Zasavska
815141,Zavrh
815142,Zavrh
805071,Zbilje K
805072,Zbilje K
805081,Zbilje jezero
805082,Zbilje jezero
805061,Zbiljski Gaj
805062,Zbiljski Gaj
204191,Zeleni gaj
204192,Zeleni gaj
405071,Zg. Besnica
405072,Zg. Besnica
104201,Zg. Gameljne
104202,Zg. Gameljne
815041,Zg. Pirniče
803091,Zgornja Šiška
803092,Zgornja Šiška
704141,Zgornji log
704142,Zgornji log
602092,Ziherlova
602093,Ziherlova
501021,Zmajski most
501022,Zmajski most
603261,ČRNI LOG
737041,ČRNI VRH
